cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
343,COMM_HEAVY,4,22932,1148,0.6809,MEDIUM,0,0
344,COMM_HEAVY,4,25363,1215,0.6613,MEDIUM,1,0
345,COMM_HEAVY,4,22483,1342,0.7674,MEDIUM,2,0
346,COMM_HEAVY,4,22080,1319,0.7818,MEDIUM,3,0
347,COMM_HEAVY,3,17610,939,0.7990,MEDIUM,4,0
348,COMM_HEAVY,4,22309,1348,0.7605,MEDIUM,5,0
349,COMM_HEAVY,4,27648,1072,0.7005,MEDIUM,6,0
350,COMM_HEAVY,4,28345,1312,0.8122,MEDIUM,0,0
351,COMM_HEAVY,1,8337,0,0.0000,MEDIUM,1,0
352,COMM_HEAVY,4,29437,1231,0.7973,MEDIUM,2,0
353,COMM_HEAVY,4,24206,1162,0.7194,MEDIUM,3,0
354,COMM_HEAVY,4,23806,1135,0.6706,MEDIUM,4,0
355,COMM_HEAVY,1,2383,0,0.0000,MEDIUM,5,0
356,COMM_HEAVY,4,27301,1238,0.7699,MEDIUM,6,0
357,COMM_HEAVY,4,30734,1188,0.6879,MEDIUM,0,0
358,COMM_HEAVY,4,27693,1218,0.7551,MEDIUM,1,0
359,COMM_HEAVY,4,19723,1340,0.7781,MEDIUM,2,0
360,COMM_HEAVY,4,27663,1298,0.7926,MEDIUM,3,0
361,COMM_HEAVY,4,18710,1290,0.7169,MEDIUM,4,0
362,COMM_HEAVY,4,20016,1322,0.6895,MEDIUM,5,0
363,COMM_HEAVY,4,19327,1123,0.6698,MEDIUM,6,0
364,COMM_HEAVY,4,24167,1130,0.6460,MEDIUM,0,0
365,COMM_HEAVY,4,19353,1326,0.7800,MEDIUM,1,0
366,COMM_HEAVY,4,20026,1289,0.7460,MEDIUM,2,0
367,COMM_HEAVY,4,18915,1260,0.7487,MEDIUM,3,0
368,COMM_HEAVY,4,29318,1183,0.7493,MEDIUM,4,0
369,COMM_HEAVY,4,23848,1288,0.7411,MEDIUM,5,0
370,COMM_HEAVY,4,29082,1194,0.7896,MEDIUM,6,0
371,COMM_HEAVY,4,21401,1166,0.6957,MEDIUM,0,0
372,COMM_HEAVY,4,12916,1347,0.7009,HIGH,1,0
373,COMM_HEAVY,4,17386,1243,0.6948,HIGH,2,0
374,COMM_HEAVY,4,11859,1332,0.7238,HIGH,3,0
375,COMM_HEAVY,1,300,0,0.0000,HIGH,4,0
376,COMM_HEAVY,4,13807,1194,0.6269,HIGH,5,0
377,COMM_HEAVY,4,24343,1171,0.7212,HIGH,6,0
378,COMM_HEAVY,1,4505,0,0.0000,HIGH,0,0
379,COMM_HEAVY,4,24055,1187,0.7247,HIGH,1,0
380,COMM_HEAVY,4,23347,1225,0.6492,HIGH,2,0
381,COMM_HEAVY,4,25809,1343,0.8105,MEDIUM,3,0
